Комплект. ЕГЭ-2017. Математика. Русский язык. Обществознание. Первый интерактивный учебник;965;Департамент исследований и разработок MAXIMUM;https://www.clever-media.ru/CleverProducts/Books/book_4951/
Большая книга малыша. Книжки-картонки. Животные со всего света;940;Уткина О.;https://www.clever-media.ru/CleverProducts/Books/book_16316/
Большая книга малыша. Книжки-картонки. Мой первый словарик. Мир малыша;940;Уткина О.;https://www.clever-media.ru/CleverProducts/Books/book_16317/
В каком мире мы будем жить завтра;930;Иаддаден Л.                                                                                         ;https://www.clever-media.ru/CleverProducts/Books/book_4016/
Я учу цифры сам!;920;Алексеева Ю.                                                                                        ;https://www.clever-media.ru/CleverProducts/Books/book_5508/
50 великих художников;920;Синельникова Н.                                                                                     ;https://www.clever-media.ru/CleverProducts/Books/book_5506/
50 великих учёных;920;Аракелов А.                                                                                         ;https://www.clever-media.ru/CleverProducts/Books/book_5507/
Новаторы. 50 великих изобретений;920;Аракелов А.                                                                                         ;https://www.clever-media.ru/CleverProducts/Books/book_5328/
ИГРА. Настоящий детектив;920;Карякина О.                                                                                         ;https://www.clever-media.ru/CleverProducts/Books/book_16239/
Как устроены машины?;920; ;https://www.clever-media.ru/CleverProducts/Books/book_16255/
I Know Things That Go. Clever Question;920; ;https://www.clever-media.ru/CleverProducts/Books/book_16817/
I Know Nature. Clever Questions;920; ;https://www.clever-media.ru/CleverProducts/Books/book_16818/
I Know Sports. Clever Questions;920; ;https://www.clever-media.ru/CleverProducts/Books/book_16819/
I Know Everything. Clever Questions;920; ;https://www.clever-media.ru/CleverProducts/Books/book_16820/
Природа России. 1000 удивительных фактов;920;Железникова О., Лиознер В.;https://www.clever-media.ru/CleverProducts/Books/book_16760/
Континенты;920;Замятина М.;https://www.clever-media.ru/CleverProducts/Books/book_16743/
Чудеса света;920;Замятина М.;https://www.clever-media.ru/CleverProducts/Books/book_16744/
Holiday Cards;900; ;https://www.clever-media.ru/CleverProducts/Books/book_16823/
I Love You;900; ;https://www.clever-media.ru/CleverProducts/Books/book_16827/
Найди и покажи. В доме;895;Лаваль Т.                                                                                           ;https://www.clever-media.ru/CleverProducts/Books/book_5505/
Доисторический мир. Найди и покажи;895;Лаваль Т.                                                                                           ;https://www.clever-media.ru/CleverProducts/Books/book_5519/
Главная книга малыша. Я учу английский. 1000 животных;890; ;https://www.clever-media.ru/CleverProducts/Books/book_5310/
Новый год в детском саду;890; ;https://www.clever-media.ru/CleverProducts/Books/book_5414/
В городе. Найди и покажи;880;Лаваль Т.                                                                                           ;https://www.clever-media.ru/CleverProducts/Books/book_4330/
